"BGC","Latitude","Longitude","Elevation","MAT","MCMT","TD","MAP","MSP","DD5","PAS","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","DD5_sp","bFFP","AHM","CMD_sp","DD5_sm","Eref_sm","Eref_sp","MWMT","NFFD","PAS_sp","PAS_wt","SHM","PPT_MJ","PPT_JAS","CMDMax","CMD.total"
"BAFAun",57.4662658251465,-128.662956168778,1812.11257976299,-3.28742023701003,-12.972008073968,20.1742870165386,1420.13562963928,475.752702174762,245.931631722881,1057.70165386118,-15.9806420106785,-8.91870686287277,1.50390675869254,-6.69550722750358,-8.07584320875114,0.471988540174502,11.0377653340279,0.35873811694231,437.373421018362,234.614663367626,280.99986977471,467.150214871728,12.2615574944654,181.838781091288,6.01608933454877,2.6050266961844,203.128402135695,194.078135173851,39.8219169162651,7.20197942440422,77.0096366714416,211.122476885011,428.875439510353,17.2774059122282,147.557038676911,328.194100794374,3.18309675739029,39.3966662325824
"BAFAunp",52.4533669595511,-126.013509517955,1767.56857855362,-0.417456359102244,-9.03441396508728,17.7551122194514,1551.29426433915,335.109725685786,392.102244389027,1103.21197007481,-12.4945137157107,-6.69925187032419,2.21571072319202,-4.16009975062344,-3.83965087281796,4.05486284289277,13.2945137157107,4.29675810473815,559.922693266833,253.995012468828,174.970074812968,562.416458852868,24.9576059850374,182.877805486284,6.40947630922693,8.59102244389027,296.341645885287,236.386533665835,66.9326683291771,8.71920199501247,97.2643391521197,213.508728179551,518.882793017456,26.4673316708229,116.436408977556,218.670822942643,38.216957605985,75.2568578553616
"BGxh1",49.1660879884722,-119.591740683333,368.638888888889,9.43888888888889,-2.87361111111111,24.1152777777778,305.347222222222,127.805555555556,2397.90277777778,44.4861111111111,-4.61388888888889,3.4625,12.8263888888889,4.04305555555556,1.7125,15.8875,27.4583333333333,14.7166666666667,93.2361111111111,72.75,77.5138888888889,61.8055555555556,486.180555555556,113.333333333333,63.7555555555556,162.666666666667,1393.875,419.027777777778,235.5,21.2319444444444,241.138888888889,1.25,39.2361111111111,166.722222222222,58.5694444444444,69.2083333333333,133.541666666667,930.875
"BGxh2",50.7033542311177,-120.811191289412,425.817647058824,7.80823529411765,-5.28,25.0676470588235,287.617647058824,130.988235294118,2078.52352941176,64.5411764705882,-7.22705882352941,1.79176470588235,11.0870588235294,2.38058823529412,0.0429411764705882,14.99,26.4470588235294,12.9805882352941,85.2941176470588,48.6235294117647,83.3588235294118,70.2588235294118,403.658823529412,123.535294117647,62.2441176470588,176.747058823529,1267.73529411765,406.747058823529,225.476470588235,19.7935294117647,213.741176470588,1.82352941176471,55.2588235294118,152.164117647059,46.4117647058824,84.6176470588235,120.011764705882,905.011764705882
"BGxh3",51.327524759697,-122.165801623232,486.464646464646,6.68080808080808,-6.7959595959596,25.340404040404,320.333333333333,151.50505050505,1847.33333333333,77.7171717171717,-8.93131313131313,0.596969696969697,9.71616161616162,1.23232323232323,-0.998989898989899,14.1242424242424,25.2848484848485,12.4080808080808,83.3939393939394,55.3333333333333,98.3434343434343,83.3232323232323,336.464646464646,132.333333333333,52.3909090909091,161.484848484848,1151.74747474747,392.242424242424,216.747474747475,18.5454545454545,196.949494949495,3.71717171717172,62,125.626262626263,55.040404040404,96.6161616161616,108.69696969697,838.515151515152
"BGxw1",50.3302636112865,-120.426325294737,798.157894736842,5.48187134502924,-6.35204678362573,22.872514619883,328.53216374269,140.637426900585,1487.39766081871,103.023391812865,-9.25672514619883,-0.691228070175439,7.83918128654971,-0.171345029239766,-0.68187134502924,12.0941520467836,23.3116959064327,11.4157894736842,102.87134502924,59.5730994152047,85.7251461988304,80.3040935672515,232.93567251462,144.397660818713,47.7976608187135,140.590643274854,975.356725146199,373.760233918129,199.877192982456,16.5187134502924,177.538011695906,8.49707602339181,79.5672514619883,119.970760233918,52.8538011695906,87.8070175438596,107.520467836257,797.426900584795
"BGxw2",51.6313651788971,-122.368668872059,734.625,4.98014705882353,-8.39044117647059,24.9529411764706,365.941176470588,180.713235294118,1490.91911764706,104.426470588235,-11.0051470588235,-1.11470588235294,7.78161764705882,-0.554411764705882,-2.08014705882353,12.4242647058824,23.3323529411765,11.0808823529412,86.8308823529412,69.1029411764706,119.441176470588,90.6176470588235,241.757352941176,145.183823529412,41.3308823529412,130.316176470588,973.5,369.191176470588,196.602941176471,16.5632352941176,172.257352941176,10.4044117647059,75.1397058823529,92.6397058823529,67.7352941176471,113.036764705882,90.9632352941177,742.191176470588
"BWBSdk",58.3163072601046,-129.830784096591,894.951100244499,-0.728878022276555,-15.2571312143439,27.3360771529476,537.932355338223,243.187449062755,704.24463461016,275.979081771258,-17.8884542243955,-6.37579462102689,4.51545775604455,-4.71039119804401,-8.66776691116544,5.79898125509372,17.4535452322738,4.04490627546862,139.361450692747,82.2283346916599,158.93941863624,157.398125509372,60.2978810105949,172.494702526487,18.0273566965499,50.2977451779408,553.074028796523,267.912252105406,92.2891877207281,12.0791768541157,120.95829937517,52.9015213257267,137.874083129584,51.786253735398,76.9475685954904,166.243683781581,37.1283618581907,369.546047269764
"BWBSmk",58.8803819621603,-123.353221132603,640.93931475029,-0.935577401692384,-19.0270822963332,33.8853782976605,503.884768541563,307.589596814335,1034.11477517836,179.850215696035,-21.5405508544881,-6.46094242575079,7.14466567114651,-5.50835407333665,-11.8930147668824,6.41418201426912,20.0866558818649,4.27390492782479,84.5023228803717,94.0626762900282,217.088020574083,108.224904595985,116.927575908412,160.053965488634,18.1558072009292,48.0993860959018,794.575659532106,290.21694043471,112.98618715779,14.8584785133566,135.499917039987,44.1345196615231,84.3777584204414,49.259731209557,116.655176704828,190.931309109009,22.5106603617057,430.713580554173
"BWBSmw",56.230549596318,-121.08163555612,762.548632218845,1.07341807129041,-14.5771345675601,29.2337800497375,501.760292898591,288.599336833379,1094.23929262227,175.016026526665,-17.7577783918209,-4.42937275490467,7.0955098093396,-3.24649074329925,-7.86827852998066,7.90945012434374,20.1417242332136,6.73733075435203,94.3828405636916,92.214562033711,202.741917656811,112.419591047251,138.999723680575,155.17560099475,22.3505388228792,68.8111356728378,794.46214423874,301.398728930644,132.940315004145,14.6566040342636,148.240121580547,40.0791655153357,93.223818734457,51.0474993092014,116.428709588284,172.162752141476,35.0996131528046,465.129455650732
