becvar,r,g,b
ICHmk5,65,202,60
ICHmm,57,230,57
ICHmw_MT,134,232,105
ICHmw1,69,231,50
ICHmw2,150,219,113
ICHmw3,124,220,113
ICHmw4,115,213,130
ICHmw5,146,230,129
ICHvc,129,230,137
ICHvk_ID,102,216,60
ICHvk1,22,224,36
ICHvk2,48,218,76
ICHwc,109,227,128
ICHwk1,147,212,120
ICHwk2,146,225,136
ICHwk3,76,204,56
ICHwk4,133,223,98
ICHxw,117,230,125
ICHxw_WA,117,230,125
ICHxwa,128,205,26
IDFdc,222,216,34
IDFdh_MT,195,204,24
IDFdh_UT,219,227,60
IDFdh_WA,222,236,24
IDFdk_MT,215,224,81
IDFdk_WA,208,204,81
IDFdk1,215,215,104
IDFdk2,205,199,83
IDFdk3,205,197,83
IDFdk4,234,227,14
IDFdk5,228,230,62
IDFdm_MT,219,214,121
IDFdm_WA,213,214,108
IDFdm1,233,229,110
IDFdm2,233,217,36
IDFdw,206,198,34
IDFdx_MT,218,217,116
IDFmw1,221,218,19
IDFmw2,221,211,19
IDFww,233,229,92
IDFww1,239,233,55
IDFxc,206,200,25
IDFxh_ID,193,203,51
IDFxh_WA,223,223,39
IDFxh1,232,233,131
IDFxh2,215,218,118
IDFxh4,234,229,80
IDFxk,224,236,109
IDFxm,224,236,109
IDFxm_CO,212,207,41
IDFxw,232,231,133
IDFxx_MT,224,223,125
IDFxx_WA,195,200,44
IDFxx1,200,198,84
IDFxx2,237,237,42
IGFdk_WA,71,158,220
IGFdw_OR,76,158,220
IGFmm_OR,129,184,216
IMAab,223,248,241
IMAun,233,228,244
IMAun_CO,234,234,217
IMAun_MT,229,233,243
IMAun_OR,242,239,254
IMAun_WA,242,239,254
IMAun_WY,235,243,243
IMAunp,237,236,225
IWFdm_CO,27,215,156
IWFdw_OR,119,208,173
IWFxk_NV,58,227,168
IWFxm_CA,32,220,133
JPWdm_WY,176,133,149
JPWdw_UT,167,114,116
JPWmk_WY,165,115,118
JPWwm_CO,173,115,127
JPWxh_CA,168,126,134
JPWxw_NV,195,115,137
MDCHun_NV,189,47,18
MGPdm,187,128,39
MGPmg,187,143,61
MGPmw_MT,167,110,31
MHdm_OR,127,15,239
MHds_OR,154,77,236
MHmm_OR,144,27,146
MHmm_WA,144,27,146
MHmm1,167,95,239
MHmm2,152,79,203
MHmmp,154,107,205
MHmmp_WA,199,125,231
MHms_WA,161,78,228
MHmsp_WA,184,73,224
MHRFdm_OR,116,71,122
MHRFds_CA,128,113,138
MHRFdsp_CA,96,43,131
MHRFmm_OR,128,95,178
MHRFmmp_OR,93,28,214
MHun,146,77,211
MHunp,167,72,218
MHwh,185,105,216
MHwh1,193,125,227
MHwhp,187,83,239
MSab,212,55,160
MSdc1,231,96,175
MSdc2,240,102,224
MSdc3,207,44,93
MSdh_UT,209,88,161
MSdh_WY,224,45,171
MSdk,210,62,144
MSdk_CO,229,15,111
MSdm_WA,224,63,157
MSdm1,224,58,122
MSdm2,219,79,184
MSdm3,209,39,133
MSdv,220,112,175
MSdw,201,108,170
MSdw_MT,221,14,166
MSmm_ID,223,73,201
MSmw1,228,33,160
MSmw2,236,137,222
MSSDun_NV,128,116,116
MSxh_OR,210,102,174
MSxk_WA,215,32,169
MSxk1,223,130,227
MSxk2,225,51,225
MSxk3,205,71,187
MSxm_CO,232,117,173
MSxv,203,27,94
MSxx_NV,232,128,146
OWun_CA,196,189,125
PPmx_WY,239,156,21
PPxh_CO,244,163,22
PPxh_WA,231,171,29
PPxh1,219,139,40
PPxh2,195,108,9
PPxh3,225,129,18
PPxk_OR,211,115,13
PPxm_OR,229,135,20
PPxw_MT,205,143,37
PPxx_OR,210,130,18
SASbo,45,72,112
SBAPcp,122,192,220
SBAPfp,29,165,232
SBAPmw,120,226,227
SBPSdc,42,209,224
SBPSmc,58,198,205
SBPSmk,106,198,201
SBPSxc,118,228,229
SBSdh1,41,85,228
SBSdh2,18,158,233
SBSdk,59,155,214
SBSdw1,62,168,234
SBSdw2,14,187,230
SBSdw3,89,100,227
SBSmc1,85,181,240
SBSmc2,94,145,200
SBSmc3,44,179,236
SBSmh,134,167,224
SBSmk1,109,140,212
SBSmk2,68,140,234
SBSmm,18,183,216
SBSmw,122,171,213
SBSun,47,147,240
SBSvk,22,114,201
SBSwk1,20,121,244
SBSwk2,67,123,201
SBSwk3,75,112,234
SBSwk3a,122,148,224
SGPdm_CO,222,212,121
SWBmk,146,190,194
SWBmks,121,174,182
SWBun,141,196,210
SWBuns,128,204,212
SWBvk,164,190,211
SWBvks,173,213,222
WJPxm_OR,152,118,16
,127,200,90
IGFxm_OR,172,217,229
IGFmh_OR,71,159,231
