becvar,r,g,b
(None),0,0,0
BAFAun,226,245,241
BAFAunp,240,225,221
BGdh_OR,232,36,26
BGdw_WA,235,42,36
BGmk_MT,227,51,57
BGmm_MT,205,66,63
BGmw_WA,228,88,93
BGwm_WA,213,25,37
BGxh_WA,219,16,16
BGxh1,229,52,67
BGxh2,215,40,40
BGxh3,231,94,99
BGxw1,214,73,69
BGxw2,215,21,21
BSJPap,64,64,214
BSJPku,110,122,202
BSJPpa,52,73,232
BWBScm,40,106,226
BWBSdk,118,135,227
BWBSdm,98,127,214
BWBSlb,114,124,213
BWBSlf,37,60,236
BWBSmk,22,51,240
BWBSmw,22,69,240
BWBSnm,72,92,201
BWBSpp,68,78,219
BWBSub,84,105,240
BWBSuf,90,92,223
BWBSvk,44,59,224
BWBSwk1,122,136,226
BWBSwk2,91,105,201
BWBSwk3,95,93,204
CCHun_CA,117,72,98
CDFmm,250,234,5
CDFmm_OR,225,228,43
CDFmm_WA,235,222,27
CDFxm_CA,252,252,31
CMAun,232,233,243
CMAun_CA,222,242,234
CMAun_OR,207,222,207
CMAun_WA,234,234,218
CMAunp,228,243,234
CMAwh,243,233,238
CMXdm_OR,204,135,233
CMXwm_OR,220,163,218
CMXxm_CA,187,143,214
CRFdh_CA,137,26,20
CVGdm_CA,238,182,169
CWFds_CA,59,115,206
CWFmm_OR,13,71,171
CWFwm_OR,33,104,203
CWHdm,121,211,31
CWHdm_OR,125,215,140
CWHdm_WA,27,185,38
CWHds_WA,141,239,55
CWHds1,54,208,27
CWHds2,45,212,42
CWHmh_OR,29,236,50
CWHmm1,118,231,176
CWHmm2,126,221,105
CWHms_OR,83,227,60
CWHms_WA,51,225,95
CWHms1,36,218,39
CWHms2,135,203,120
CWHvh_WA,59,208,79
CWHvh1,34,229,20
CWHvh2,72,235,77
CWHvh3,77,225,90
CWHvm_OR,64,218,64
CWHvm_WA,40,152,56
CWHvm1,13,214,130
CWHvm2,112,215,91
CWHwh_WA,112,235,116
CWHwh1,19,210,25
CWHwh2,104,228,26
CWHwm,96,200,123
CWHws1,65,227,119
CWHws2,65,212,92
CWHxm_OR,135,236,145
CWHxm_WA,51,227,27
CWHxm1,64,217,100
CWHxm2,93,217,145
ESSFab,170,57,207
ESSFdc1,196,90,214
ESSFdc2,184,85,204
ESSFdc3,183,130,223
ESSFdcp,136,23,222
ESSFdcw,151,50,222
ESSFdh_WA,103,29,167
ESSFdk_MT,173,33,238
ESSFdk1,112,21,223
ESSFdk2,166,34,206
ESSFdkp,194,122,216
ESSFdkp_MT,170,81,205
ESSFdkw,95,42,240
ESSFdm_ID,95,42,240
ESSFdmp_ID,176,116,208
ESSFdv1,188,103,221
ESSFdv2,203,126,224
ESSFdvp,152,29,200
ESSFdvw,160,29,200
ESSFmc,196,130,214
ESSFmcp,178,58,211
ESSFmh,205,121,224
ESSFmk,163,23,213
ESSFmkp,179,80,214
ESSFmm1,184,97,212
ESSFmm2,171,43,203
ESSFmm3,196,27,229
ESSFmmp,198,132,231
ESSFmmw,195,96,237
ESSFmv1,181,77,215
ESSFmv2,190,121,226
ESSFmv3,173,63,228
ESSFmv4,151,76,235
ESSFmvp,175,71,203
ESSFmw,171,28,223
ESSFmw_WA,135,16,225
ESSFmw1,174,58,224
ESSFmw2,161,108,210
ESSFmwp,186,109,212
ESSFmwp_WA,182,53,214
ESSFmww,225,137,209
ESSFun,146,26,210
ESSFunp,165,46,234
ESSFvc,181,37,209
ESSFvcp,191,77,201
ESSFvcw,206,106,196
ESSFvh_ID,161,23,207
ESSFwc2,195,26,237
ESSFwc3,202,63,236
ESSFwc4,219,69,235
ESSFwcp,178,45,207
ESSFwcw,230,19,220
ESSFwh_MT,191,104,206
ESSFwh1,205,53,218
ESSFwh2,175,44,214
ESSFwh3,177,37,219
ESSFwk1,172,91,207
ESSFwk2,188,28,216
ESSFwm_MT,217,126,225
ESSFwm1,212,132,238
ESSFwm2,184,97,206
ESSFwm3,213,32,236
ESSFwm4,197,86,230
ESSFwmp,195,90,216
ESSFwmp_MT,180,41,204
ESSFwmw,225,21,191
ESSFwv,192,49,211
ESSFwvp,161,58,202
ESSFxc_CO,167,47,210
ESSFxc_WA,167,111,203
ESSFxc1,161,26,218
ESSFxc2,174,74,214
ESSFxc3,135,31,208
ESSFxcp,173,65,236
ESSFxcp_CO,170,79,216
ESSFxcp_WA,173,97,208
ESSFxcw,165,83,223
ESSFxh_WA,201,123,239
ESSFxk_MT,214,131,221
ESSFxk_UT,169,122,220
ESSFxkp_MT,164,34,211
ESSFxkp_UT,233,129,233
ESSFxv1,168,129,235
ESSFxv2,68,26,236
ESSFxvp,113,69,222
ESSFxvw,140,95,202
ESSFxw_OR,114,48,200
ESSFxwp_OR,211,104,156
FGff,219,183,74
FGnf,198,155,35
FGwk,160,122,25
GBDdw_UT,164,164,135
GBDxh_NV,160,157,133
GBDxx_UT,156,153,105
GOun_CO,93,101,208
ICHdh_ID,113,216,107
ICHdk,113,222,115
ICHdm,113,239,101
ICHdw_ID,27,231,20
ICHdw1,74,239,88
ICHdw3,28,213,47
ICHdw4,77,223,66
ICHmc1,92,238,89
ICHmc1a,128,208,125
ICHmc2,32,220,63
ICHmh_MT,100,200,41
ICHmk1,100,228,111
ICHmk2,13,221,24
ICHmk3,13,221,13
ICHmk4,29,225,29
