"BGC","Latitude","Longitude","Elevation","MAT","MCMT","TD","MAP","MSP","DD5","PAS","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","DD5_sp","bFFP","AHM","CMD_sp","DD5_sm","Eref_sm","Eref_sp","MWMT","NFFD","PAS_sp","PAS_wt","SHM","PPT_MJ","PPT_JAS","CMDMax","CMD.total"
"BAFAun",57.4662658251465,-128.662956168778,1812.11257976299,-2.21469737089609,-10.6842051193008,18.1099788745641,1341.79580674567,466.029163230166,270.554383527948,949.651350725644,-12.9733110503393,-7.69121702768011,2.42088090173778,-5.30019678488229,-6.33721621738942,0.945386407373645,10.6927558565207,0.526301891160597,402.940349582556,228.839953118896,274.238261637077,435.783348526284,17.2348685448047,178.372299633922,7.35124799236012,5.44690425547308,218.619279130674,183.16751313105,47.5334027868212,7.42605373963624,93.2588372328573,201.276157196394,379.720391833427,18.4528902779586,144.727865318111,321.299344532708,3.91543314378319,50.4878167006699
"BAFAunp",52.4533669595511,-126.013509517955,1767.56857855362,0.7,-7.21041839844832,17.087974508174,1393.90911609864,321.104183984483,503.254364089776,884.478802992519,-10.4793294541424,-5.54375173178166,3.71789969520643,-3.02128013300083,-2.31515655306179,4.40121917428651,13.9713771127736,4.86949293433084,450.87974508174,244.287614297589,152.675810473815,546.080354668883,37.7046273205874,171.091160986423,7.92876142975894,14.1526738708784,377.582432806872,237.193682460515,77.7727902466057,9.8751731781657,121.260182876143,195.520365752286,377.71072319202,31.3797727902466,98.8390135771682,222.247436963148,43.0545857578277,103.090329731227
"BGxh1",49.1660879884722,-119.591740683333,368.638888888889,10.5972222222222,-1.00956790123457,24.091975308642,299.121913580247,116.081790123457,2664.2037037037,27.2376543209877,-2.73719135802469,4.76743827160494,14.4901234567901,5.36774691358025,2.75833333333333,16.5543209876543,28.4100308641975,15.1768518518518,83.2793209876543,79.5941358024691,67.1867283950617,69.0401234567901,558.486111111111,104.79012345679,69.3304012345679,158.489197530864,1513.29320987654,422.720679012346,238.067901234568,23.0793209876543,263.833333333333,0.981481481481481,23.3487654320988,199.72037037037,68.2314814814815,47.6867283950617,141.810185185185,940.87962962963
"BGxh2",50.7033542311177,-120.811191289412,425.817647058824,8.9878431372549,-2.6718954248366,24.0441176470588,281.339869281046,127.885620915033,2297.11176470588,40.1496732026144,-5.03320261437908,3.06562091503268,12.2972549019608,3.5256862745098,1.40738562091503,15.5888235294118,27.4786928104575,13.576862745098,72.1614379084967,55.8098039215686,74.2705882352941,79.0274509803922,466.346405228758,115.111111111111,68.1538562091503,172.806535947712,1370.55294117647,416.498039215686,228.612418300654,21.3726797385621,233.622222222222,1.4437908496732,33.0300653594771,168.768300653595,58.7169934640523,69.1366013071896,131.713071895425,920.513071895425
"BGxh3",51.327524759697,-122.165801623232,486.464646464646,7.81212121212121,-3.77530864197531,23.0887766554433,300.45342312009,140.097643097643,1982.70033670034,49.2491582491582,-5.95768799102132,1.868911335578,10.3675645342312,2.22861952861953,0.555667789001122,14.8927048260382,25.7212121212121,12.803367003367,72.2457912457913,59.3535353535354,82.5544332210999,86.2603815937149,394.938271604938,124.967452300786,59.8668911335578,162.90684624018,1201.81032547699,395.450056116723,222.259259259259,19.3136924803591,218.017957351291,2.34792368125701,38.5712682379349,141.620426487093,62.3524130190797,77.7070707070707,119.741863075196,864.881032547699
"BGxw1",50.3302636112865,-120.426325294737,798.157894736842,6.68778427550357,-4.28486029889539,22.6100064977258,319.229369720598,135.325536062378,1709.43404808317,72.5263157894737,-7.29636127355426,0.633918128654971,9.33138401559454,1.07179987004548,0.624626380766732,12.7107862248213,24.4201429499675,12.0148797920728,85.6478232618584,67.0487329434698,76.551656920078,90.050032488629,289.72644574399,131.878492527615,53.42261208577,136.946718648473,1095.11500974659,383.303443794672,203.982456140351,18.3234567901235,197.331384015595,6.99545159194282,53.3788174139051,139.102599090318,65.8180636777128,69.4704353476283,119.756335282651,814.635477582846
"BGxw2",51.6313651788971,-122.368668872059,734.625,5.99877450980392,-5.39330065359477,22.6289215686275,341.990196078431,165.15114379085,1591.40522875817,77.0531045751634,-8.3124183006536,-0.0608660130718954,8.35988562091503,0.256454248366013,-0.597140522875817,13.1361928104575,23.7482026143791,11.4505718954248,76.4746732026144,72.7785947712418,99.9877450980392,92.7377450980392,283.49591503268,138.683823529412,47.5826797385621,134.928921568627,1019.4591503268,372.656045751634,207.700980392157,17.234477124183,185.991830065359,7.59722222222222,55.1339869281046,106.131862745098,75.2165032679738,89.9264705882353,104.121732026144,775.753267973856
"BWBSdk",58.3163072601046,-129.830784096591,894.951100244499,0.338309336231097,-12.1938890398141,24.536526909958,505.830209182287,236.901974101241,770.915708291829,239.223640918832,-15.0479640194392,-5.2525536538984,5.42925986295994,-3.31559207944701,-7.0097859881071,6.36454918651333,17.2615382293459,4.27838147846298,128.672733858553,76.6091490838842,155.143650578043,145.407739442784,82.6981798424341,164.423767695976,21.5713755320112,62.663572700655,585.684445651846,259.480077877388,109.14319780253,12.3422152796643,135.092849165384,43.6976666968517,124.640254761689,54.6114657852637,76.5079990340789,160.393099701168,35.5432853391289,398.008391439524
"BWBSmk",58.8803819621603,-123.353221132603,640.93931475029,0.100347049388861,-16.2119411721328,31.8086974356138,538.916698928894,327.657955865273,1139.75144719134,186.907656287447,-19.3763287428793,-6.12713944656453,7.91100326309386,-4.63567787548624,-9.68490035580628,7.0544881367181,20.6518412514057,5.00872601072949,92.9830992017403,96.9787852810501,237.278151097838,111.6706948362,141.753641022805,155.702814188006,18.9785188872297,59.1405849602714,855.478458049887,294.210617038143,125.439217963608,15.5971867337721,142.139852146821,45.3004719502977,92.345288793024,49.1150074664012,131.814100436923,195.836485813838,20.1535682023487,418.167284257877
"BWBSmw",56.230549596318,-121.08163555612,762.548632218845,2.03826102975039,-11.5879509379509,26.521496116177,494.353182278714,274.918762088975,1130.22997451721,164.232783764699,-14.8538515857665,-3.57758895950385,6.73701145190507,-2.52962758281907,-5.63313376930398,8.49221393263947,20.6908645727795,6.97604924626201,85.7254459488502,98.6209818550244,195.424810414172,114.585490159958,160.591569187314,152.815648890117,24.806034509226,71.7996991188481,803.45726259556,312.592705167173,138.604801817568,14.9329679776488,151.528522305118,41.5757575757576,82.3379847103251,55.1499692978416,116.415338798318,158.508519848945,40.9571244358478,499.611617696724
